epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1588.31,0.36465,0.4183,0.83419,0.55821,0.84604,0.71974,0.5915,0.72232,1.00109,0.95433,0.00016516,0.00016516,0.00016516
43,1626.33,0.36078,0.41788,0.83308,0.53837,0.89497,0.7225,0.59186,0.69214,0.99563,0.9311,0.000162408,0.000162408,0.000162408
44,1663.98,0.3519,0.40258,0.83069,0.52226,0.86935,0.67347,0.55487,0.71179,1.05977,0.95155,0.000159655,0.000159655,0.000159655
45,1701.9,0.35344,0.40805,0.8312,0.53329,0.88515,0.68535,0.5582,0.7106,1.03981,0.95224,0.000156903,0.000156903,0.000156903
46,1739.84,0.34851,0.40032,0.83221,0.54875,0.85889,0.6881,0.56786,0.70517,1.02322,0.94574,0.000154151,0.000154151,0.000154151
47,1777.55,0.34362,0.4,0.83063,0.55354,0.85232,0.69548,0.56831,0.7074,0.99061,0.93356,0.000151399,0.000151399,0.000151399
48,1815.15,0.34743,0.4126,0.82914,0.54199,0.86164,0.67216,0.5552,0.68554,1.05259,0.93433,0.000148647,0.000148647,0.000148647
49,1853.23,0.34247,0.39822,0.82772,0.54746,0.86384,0.70007,0.57672,0.69664,1.01308,0.93852,0.000145894,0.000145894,0.000145894
50,1891.06,0.34135,0.40648,0.82811,0.55256,0.86633,0.68507,0.56246,0.70875,1.04393,0.94864,0.000143142,0.000143142,0.000143142
51,1928.65,0.33588,0.39327,0.82799,0.53997,0.87647,0.67793,0.55985,0.69946,1.06911,0.94865,0.00014039,0.00014039,0.00014039
52,1966.54,0.33515,0.39269,0.827,0.53829,0.8948,0.69252,0.56896,0.68327,1.02008,0.947,0.000137638,0.000137638,0.000137638
53,2004.18,0.33095,0.39224,0.82595,0.5577,0.86036,0.70032,0.57287,0.69831,1.02561,0.95083,0.000134886,0.000134886,0.000134886
54,2042.3,0.32645,0.38401,0.82714,0.55968,0.84406,0.68841,0.56272,0.69035,1.04395,0.94013,0.000132133,0.000132133,0.000132133
55,2079.77,0.32336,0.38269,0.82579,0.55142,0.87833,0.70546,0.58609,0.6832,1.00073,0.94452,0.000129381,0.000129381,0.000129381
56,2117.82,0.3212,0.38291,0.82825,0.54496,0.88228,0.702,0.57987,0.69078,1.01474,0.94821,0.000126629,0.000126629,0.000126629
57,2155.06,0.32313,0.38099,0.82385,0.55913,0.86145,0.69348,0.57256,0.68431,1.03228,0.94742,0.000123877,0.000123877,0.000123877
58,2193.04,0.31712,0.39165,0.82571,0.55416,0.85026,0.69289,0.57879,0.68119,1.03995,0.94495,0.000121125,0.000121125,0.000121125
59,2230.43,0.31274,0.38293,0.82367,0.5581,0.85769,0.705,0.58367,0.68828,0.99273,0.94396,0.000118372,0.000118372,0.000118372
60,2268.35,0.31406,0.38915,0.82385,0.54398,0.88652,0.69764,0.57743,0.6903,1.0148,0.94636,0.00011562,0.00011562,0.00011562
61,2305.93,0.3151,0.37882,0.82279,0.55942,0.84016,0.68842,0.56734,0.67467,1.0211,0.93976,0.000112868,0.000112868,0.000112868
62,2343.6,0.31024,0.37636,0.82292,0.5434,0.87036,0.68199,0.56363,0.70074,1.05659,0.96641,0.000110116,0.000110116,0.000110116
63,2381.55,0.30038,0.36738,0.82275,0.54815,0.88351,0.70203,0.57777,0.69509,1.04948,0.95393,0.000107364,0.000107364,0.000107364
